[DELTA CHAIN] leg=ttx2772l entry_kind=EntryByDeltaRange underlying=NIFTY expiry= type=PE spot=23886.0 total_strikes=130
[DELTA CHAIN] ───────────────────────────────────────────────────────────────────────────────────────────────
[DELTA CHAIN]   Strike   LTP/Close     Delta       IV%     Theta            OI
[DELTA CHAIN] ───────────────────────────────────────────────────────────────────────────────────────────────
[DELTA CHAIN]    20100        0.15   -0.0005    260.74   -6.8350        696150
[DELTA CHAIN]    20150        0.20   -0.0006    262.94   -8.7944         92300
[DELTA CHAIN]    20200        0.15   -0.0005    253.66   -6.7818         67600
[DELTA CHAIN]    20250        0.15   -0.0005    250.25   -6.7907         40365
[DELTA CHAIN]    20300        0.15   -0.0005    246.83   -6.7980         72540
[DELTA CHAIN]    20350        0.20   -0.0006    248.78   -8.7449         41210
[DELTA CHAIN]    20400        0.20   -0.0006    245.12   -8.6776         28080
[DELTA CHAIN]    20450        0.20   -0.0006    241.70   -8.7053         54990
[DELTA CHAIN]    20500        0.20   -0.0006    238.16   -8.6817        162695
[DELTA CHAIN]    20550        0.20   -0.0007    234.62   -8.6554         29380
[DELTA CHAIN]    20600        0.15   -0.0005    226.08   -6.7222         33410
[DELTA CHAIN]    20650        0.15   -0.0005    222.66   -6.7165         10335
[DELTA CHAIN]    20700        0.25   -0.0008    228.15  -10.4642         43225
[DELTA CHAIN]    20750        0.35   -0.0011    230.96  -13.9856         13195
[DELTA CHAIN]    20800        0.15   -0.0005    212.40   -6.6882         51285
[DELTA CHAIN]    20850        0.20   -0.0007    213.62   -8.5471         42055
[DELTA CHAIN]    20900        0.15   -0.0006    205.57   -6.6596         35945
[DELTA CHAIN]    20950        0.20   -0.0007    206.67   -8.5092         16575
[DELTA CHAIN]    21000        0.15   -0.0006    198.73   -6.6228        558610
[DELTA CHAIN]    21050        0.20   -0.0008    199.71   -8.4615         72930
[DELTA CHAIN]    21100        0.15   -0.0006    191.90   -6.5776         52585
[DELTA CHAIN]    21150        0.20   -0.0008    192.87   -8.4618         35945
[DELTA CHAIN]    21200        0.20   -0.0008    189.33   -8.4003         66365
[DELTA CHAIN]    21250        0.15   -0.0006    181.76   -6.5428         38805
[DELTA CHAIN]    21300        0.15   -0.0006    178.35   -6.5107         56030
[DELTA CHAIN]    21350        0.25   -0.0010    182.37  -10.1604         29510
[DELTA CHAIN]    21400        0.15   -0.0007    171.63   -6.4911         76310
[DELTA CHAIN]    21450        0.15   -0.0007    168.21   -6.4526         14625
[DELTA CHAIN]    21500        0.15   -0.0007    164.92   -6.4646        571220
[DELTA CHAIN]    21550        0.15   -0.0007    161.50   -6.4218         28600
[DELTA CHAIN]    21600        0.25   -0.0011    164.92  -10.0062         83330
[DELTA CHAIN]    21650        0.20   -0.0009    158.45   -8.2151         19500
[DELTA CHAIN]    21700        0.20   -0.0010    155.03   -8.1909        107965
[DELTA CHAIN]    21750        0.15   -0.0008    148.19   -6.3962         71175
[DELTA CHAIN]    21800        0.25   -0.0012    151.00   -9.8670        155870
[DELTA CHAIN]    21850        0.15   -0.0008    141.48   -6.3455         65390
