
[LIVE CHAIN] leg=callLeg1-k49do8lv  NIFTY  expiry=2026-05-12  spot=23966.8475503496  strikes=108
[LIVE CHAIN] ──────────────────────────────────────────────────────────────────────────────────────────────────────────────
[LIVE CHAIN]    CE_LTP   CE_IV%   CE_Delta  │   STRIKE  │   PE_Delta   PE_IV%     PE_LTP
[LIVE CHAIN] ──────────────────────────────────────────────────────────────────────────────────────────────────────────────
[LIVE CHAIN]   2759.75     0.00     0.0000  │    21200  │    -0.0013    72.69       0.35
[LIVE CHAIN]   3221.10   292.20     0.7924  │    21250  │    -0.0013    71.41       0.35
[LIVE CHAIN]   1974.90     0.00     0.0000  │    21300  │    -0.0011    69.21       0.30
[LIVE CHAIN]   1927.70     0.00     0.0000  │    21350  │    -0.0013    68.85       0.35
[LIVE CHAIN]   2653.25   151.69     0.9149  │    21400  │    -0.0015    68.39       0.40
[LIVE CHAIN]   1834.05     0.00     0.0000  │    21450  │    -0.0015    67.08       0.40
[LIVE CHAIN]   2713.55   205.08     0.8414  │    21500  │    -0.0017    66.50       0.45
[LIVE CHAIN]   1741.50     0.00     0.0000  │    21550  │    -0.0018    65.22       0.45
[LIVE CHAIN]   2386.20    99.49     0.9704  │    21600  │    -0.0018    63.90       0.45
[LIVE CHAIN]   1650.15     0.00     0.0000  │    21650  │    -0.0020    63.22       0.50
[LIVE CHAIN]   1605.00     0.00     0.0000  │    21700  │    -0.0019    61.31       0.45
[LIVE CHAIN]   2278.20   123.12     0.9247  │    21750  │    -0.0019    60.03       0.45
[LIVE CHAIN]   2216.15   114.30     0.9342  │    21800  │    -0.0021    59.30       0.50
[LIVE CHAIN]   1471.90     0.00     0.0000  │    21850  │    -0.0022    58.00       0.50
[LIVE CHAIN]   2114.50   109.03     0.9336  │    21900  │    -0.0022    56.70       0.50
[LIVE CHAIN]   2075.65   112.85     0.9219  │    21950  │    -0.0024    55.89       0.55
[LIVE CHAIN]   1955.15     0.00     0.0000  │    22000  │    -0.0025    54.58       0.55
[LIVE CHAIN]   1300.60     0.00     0.0000  │    22050  │    -0.0027    53.73       0.60
[LIVE CHAIN]   1259.00     0.00     0.0000  │    22100  │    -0.0028    52.40       0.60
[LIVE CHAIN]   1217.95     0.00     0.0000  │    22150  │    -0.0031    51.50       0.65
[LIVE CHAIN]   1705.45     0.00     0.0000  │    22200  │    -0.0031    50.17       0.65
[LIVE CHAIN]   1794.15   107.49     0.8964  │    22250  │    -0.0034    49.21       0.70
[LIVE CHAIN]   1629.75     0.00     0.0000  │    22300  │    -0.0037    48.21       0.75
[LIVE CHAIN]   1683.20    98.20     0.9022  │    22350  │    -0.0040    47.18       0.80
[LIVE CHAIN]   1579.75    63.21     0.9727  │    22400  │    -0.0041    45.82       0.80
[LIVE CHAIN]   1578.10    91.39     0.9032  │    22450  │    -0.0045    44.76       0.85
[LIVE CHAIN]   1470.00     0.00     1.0000  │    22500  │    -0.0048    43.67       0.90
[LIVE CHAIN]   1900.00   199.07     0.7262  │    22550  │    -0.0054    42.80       1.00
[LIVE CHAIN]   1302.45     0.00     0.0000  │    22600  │    -0.0056    41.41       1.00
[LIVE CHAIN]   1600.60   146.40     0.7670  │    22650  │    -0.0062    40.47       1.10
[LIVE CHAIN]   1255.00     0.00     0.0000  │    22700  │    -0.0066    39.27       1.15
[LIVE CHAIN]   1111.00     0.00     0.0000  │    22750  │    -0.0071    38.05       1.20
[LIVE CHAIN]   1153.00     0.00     0.0000  │    22800  │    -0.0078    36.99       1.30
[LIVE CHAIN]   1627.55   183.80     0.6966  │    22850  │    -0.0086    35.88       1.40
[LIVE CHAIN]   1046.10     0.00     0.0000  │    22900  │    -0.0097    34.88       1.55
[LIVE CHAIN]    940.90     0.00     0.0000  │    22950  │    -0.0106    33.69       1.65
[LIVE CHAIN]    973.10    33.51     0.9861  │    23000  │    -0.0123    32.83       1.90
[LIVE CHAIN]    845.00     0.00     0.0000  │    23050  │    -0.0134    31.54       2.00
[LIVE CHAIN]    876.00    34.64     0.9718  │    23100  │    -0.0153    30.53       2.25
[LIVE CHAIN]    825.00    31.75     0.9749  │    23150  │    -0.0174    29.44       2.50
[LIVE CHAIN]    778.20    33.32     0.9602  │    23200  │    -0.0193    28.20       2.70
[LIVE CHAIN]    722.10    23.61     0.9894  │    23250  │    -0.0228    27.26       3.15
[LIVE CHAIN]    675.90    27.66     0.9665  │    23300  │    -0.0266    26.20       3.60
[LIVE CHAIN]    626.50    26.47     0.9615  │    23350  │    -0.0315    25.19       4.20
[LIVE CHAIN]    578.90    26.52     0.9476  │    23400  │    -0.0383    24.28       5.05
[LIVE CHAIN]    529.45    24.99     0.9417  │    23450  │    -0.0487    23.65       6.50
[LIVE CHAIN]    478.40    22.41     0.9429  │    23500  │    -0.0626    23.10       8.50
[LIVE CHAIN]    435.15    23.96     0.9067  │    23550  │    -0.0806    22.58      11.20
[LIVE CHAIN]    386.20    22.24     0.8948  │    23600  │    -0.1040    22.13      14.90
[LIVE CHAIN]    340.40    21.55     0.8681  │    23650  │    -0.1344    21.79      20.05
[LIVE CHAIN]    298.00    21.52     0.8277  │    23700  │    -0.1721    21.50      26.90
[LIVE CHAIN]    256.85    21.24     0.7826  │    23750  │    -0.2183    21.33      36.15
[LIVE CHAIN]    218.20    21.00     0.7297  │    23800  │    -0.2721    21.19      48.00
[LIVE CHAIN]    183.25    20.96     0.6683  │    23850  │    -0.3325    21.08      62.75
[LIVE CHAIN]    151.45    20.91     0.6019  │    23900  │    -0.3986    21.02      80.95
[LIVE CHAIN]    123.35    20.91     0.5321  │    23950  │    -0.4678    20.91     102.25 ←ATM
[LIVE CHAIN]     98.55    20.88     0.4615  │    24000  │    -0.5383    20.94     127.80
[LIVE CHAIN]     77.30    20.85     0.3920  │    24050  │    -0.6075    20.94     156.65
[LIVE CHAIN]     59.90    20.91     0.3264  │    24100  │    -0.6730    20.98     189.10
[LIVE CHAIN]     46.00    21.06     0.2672  │    24150  │    -0.7325    21.09     225.00
[LIVE CHAIN]     35.00    21.26     0.2153  │    24200  │    -0.7818    21.53     264.90
[LIVE CHAIN]     26.65    21.57     0.1719  │    24250  │    -0.8267    21.69     305.90
[LIVE CHAIN]     20.20    21.90     0.1358  │    24300  │    -0.8656    21.77     348.65
[LIVE CHAIN]     15.45    22.34     0.1073  │    24350  │    -0.8909    22.51     394.70
[LIVE CHAIN]     12.05    22.90     0.0854  │    24400  │    -0.9117    23.20     441.50
[LIVE CHAIN]      9.50    23.51     0.0684  │    24450  │    -0.9390    22.63     486.80
[LIVE CHAIN]      7.60    24.18     0.0552  │    24500  │    -0.9472    23.85     535.90
[LIVE CHAIN]      6.25    24.96     0.0453  │    24550  │     0.0000     0.00     581.45
